epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.3404,1.35687,3.14099,1.42483,0.17055,0.39583,0.36632,0.24629,0.9138,2.74258,1.13312,0.0865,0.0015,0.0015
2,41.8034,0.95063,1.57351,1.1457,0.4469,0.875,0.7613,0.59636,0.75923,1.90052,0.98156,0.0719977,0.0029977,0.0029977
3,60.4552,0.90176,1.19957,1.09154,0.66438,0.87251,0.77661,0.62589,0.72001,1.80402,0.95376,0.0573898,0.0043898,0.0043898
4,79.3471,0.8773,1.28707,1.05364,0.7835,0.83418,0.89521,0.75027,0.69738,1.18364,0.94979,0.0426763,0.0056763,0.0056763
5,97.8963,0.83047,1.1754,1.0274,0.91056,0.75,0.81017,0.69636,0.65165,1.45573,0.90668,0.0278572,0.0068572,0.0068572
6,116.447,0.76719,1.21707,1.0015,0.9205,0.60315,0.84168,0.73492,0.65075,1.31213,0.89693,0.0129325,0.0079325,0.0079325
7,135.602,0.80865,1.07568,1.01597,0.74066,0.95799,0.93544,0.77133,0.70944,1.24158,0.90415,0.00802,0.00802,0.00802
8,154.066,0.79337,0.93037,1.00917,0.75784,0.90782,0.95125,0.7974,0.59826,0.96204,0.88444,0.00769,0.00769,0.00769
9,172.631,0.83415,0.87528,1.00061,0.86802,0.9375,0.94854,0.80459,0.62725,0.82332,0.88444,0.00736,0.00736,0.00736
10,191.514,0.73705,0.78777,0.96585,0.9086,0.8166,0.94918,0.82242,0.59503,0.74649,0.87681,0.00703,0.00703,0.00703
11,210.346,0.75211,0.79984,0.98649,0.86079,0.93011,0.9393,0.81144,0.62518,0.69242,0.87946,0.0067,0.0067,0.0067
12,229.067,0.81595,0.80995,0.99796,0.80521,0.92906,0.94381,0.78668,0.70446,0.78944,0.89689,0.00637,0.00637,0.00637
13,247.492,0.71721,0.69447,0.9638,0.87575,0.93439,0.96416,0.82868,0.6245,0.76249,0.88979,0.00604,0.00604,0.00604
14,267.521,0.76674,0.67043,0.96774,0.90122,0.9419,0.95374,0.83184,0.63089,0.6374,0.88527,0.00571,0.00571,0.00571
15,286.272,0.79158,0.65695,0.95169,0.86016,0.94077,0.94654,0.76937,0.71162,0.6191,0.90051,0.00538,0.00538,0.00538
16,305.09,0.73661,0.6323,0.93886,0.89826,0.94213,0.95733,0.82061,0.66819,0.64107,0.89793,0.00505,0.00505,0.00505
17,323.891,0.7051,0.58491,0.95551,0.9041,0.97864,0.95567,0.80144,0.66501,0.60301,0.89612,0.00472,0.00472,0.00472
18,342.379,0.73949,0.57104,0.97139,0.88779,0.95836,0.96775,0.82008,0.68018,0.59769,0.90147,0.00439,0.00439,0.00439
19,364.69,0.7047,0.59011,0.95071,0.87142,0.9877,0.96067,0.81073,0.69281,0.55915,0.89906,0.00406,0.00406,0.00406
